Date,Real GDP (GDPC1),Nominal GDP (GDP),Consumer Price Index,Currency in Circulation
1/1/1960,3275.76,542.65,-0.34,32100
4/1/1960,3258.09,541.08,0.34,31800
7/1/1960,3274.03,545.6,0,32200
10/1/1960,3232.01,540.2,0.68,32300
1/1/1961,3253.83,545.02,0,32400
4/1/1961,3309.06,555.55,0,32000
7/1/1961,3372.58,567.66,0.67,32700
10/1/1961,3438.72,580.61,0,32900
1/1/1962,3500.05,594.01,0,33400
4/1/1962,3531.68,600.37,0.33,33300
7/1/1962,3575.07,609.03,0.33,34100
10/1/1962,3586.83,612.28,0,34200
1/1/1963,3625.98,621.67,0,34700
4/1/1963,3666.67,629.75,0,34800
7/1/1963,3747.28,644.44,0.33,35800
10/1/1963,3771.85,653.94,0.33,36200
1/1/1964,3851.37,669.82,0,37000
4/1/1964,3893.3,678.67,0,37000
7/1/1964,3954.12,692.03,0.32,38000
10/1/1964,3966.34,697.32,0,38400
1/1/1965,4062.31,717.79,0,39100
4/1/1965,4113.63,730.19,0.32,39000
7/1/1965,4205.09,749.32,0,40100
10/1/1965,4301.97,771.86,0.32,40800
1/1/1966,4406.69,795.73,0,41700
4/1/1966,4421.75,804.98,0.62,41700
7/1/1966,4459.2,819.64,0.31,42900
10/1/1966,4495.78,833.3,0.61,43200
1/1/1967,4535.59,844.17,0,44100
4/1/1967,4538.37,848.98,0.3,43900
7/1/1967,4581.31,865.23,0.3,45100
10/1/1967,4615.85,881.44,0.3,45500
1/1/1968,4709.99,909.39,0.59,46500
4/1/1968,4788.69,934.34,0.29,46700
7/1/1968,4825.8,950.83,0.58,48100
10/1/1968,4844.78,968.03,0.57,48700
1/1/1969,4920.61,993.34,0.28,49900
4/1/1969,4935.56,1009.02,0.55,49800
7/1/1969,4968.16,1029.96,0.55,51300
10/1/1969,4943.94,1038.15,0.54,51800
1/1/1970,4936.59,1051.2,0.27,52800
4/1/1970,4943.6,1067.38,0.79,52900
7/1/1970,4989.16,1086.06,0.52,54800
10/1/1970,4935.69,1088.61,0.51,55200
1/1/1971,5069.75,1135.16,0,56300
4/1/1971,5097.18,1156.27,0.25,56800
7/1/1971,5139.13,1177.68,0.25,58900
10/1/1971,5151.25,1190.3,0.25,59300
1/1/1972,5245.97,1230.61,0,60200
4/1/1972,5365.05,1266.37,0.24,60700
7/1/1972,5415.71,1290.57,0.48,62700
10/1/1972,5506.4,1328.9,0.48,63400
1/1/1973,5642.67,1377.49,0.24,65300
4/1/1973,5704.1,1413.89,0.69,66100
7/1/1973,5674.1,1433.84,0.23,68400
10/1/1973,5727.96,1476.29,0.88,68900
1/1/1974,5678.71,1491.21,0.87,71000
4/1/1974,5692.21,1530.06,0.42,72200
7/1/1974,5638.41,1560.03,0.82,74600
