Country Name,2013_GDP_per_Capita,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population
Afghanistan,678.671,60.93141463,4.9,30682500
Angola,5964.473,51.86617073,5.863,23448202
Albania,4564.518,77.5372439,1.771,2897366
United Arab Emirates,44551.972,77.13129268,1.801,9039978
Argentina,14708.613,76.18729268,2.175,42538304
Armenia,3173.083,74.5407561,1.74,2992192
Antigua and Barbuda,13733.958,75.82929268,2.089,89985
Australia,64578.19,82.19756098,1.921,23125868
Austria,49038.959,80.8902439,1.44,8479375
Azerbaijan,7899.595,70.69314634,2,9416801
Burundi,303.004,54.09719512,6.033,10465959
Belgium,45537.619,80.38536585,1.79,11182817
Benin,805.125,59.28756098,4.845,10322232
Burkina Faso,710.983,56.27502439,5.605,17084554
Bangladesh,1033.006,70.69339024,2.177,157157394
Bulgaria,7328.488,74.46585366,1.5,7265115
Bahrain,27925.546,76.66987805,2.075,1349427
Bahamas,23639.492,75.07256098,1.888,377841
Bosnia and Herzegovina,4619.872,76.27990244,1.283,3823533
Belarus,7577.082,72.47073171,1.62,9466000
Belize,4618.858,73.90487805,2.676,344193
Bolivia,2792.901,67.21736585,3.221,10399931
Brazil,11172.523,73.88595122,1.801,204259377
Barbados,15172.568,75.29641463,1.849,282503
Brunei Darussalam,39658.804,78.56643902,1.994,411499
Bhutan,2633.136,68.30231707,2.232,754637
Botswana,7119.93,47.40560976,2.619,2176510
Central African Republic,333.604,50.13680488,4.365,4710678
Canada,52037.148,81.40112195,1.61,35158304
Switzerland,81276.126,82.74878049,1.52,8089346
Chile,15775.713,79.83680488,1.82,17575833
China,6958.686,75.35302439,1.668,1357380000
Côte d'Ivoire,1332.051,50.75741463,4.866,21622490
Cameroon,1330.657,55.04180488,4.78,22211166
Republic of Congo,3222.765,58.77,4.969,4394334
Colombia,8030.715,73.97882927,2.286,47342363
Comoros,927.847,60.8574878,4.714,751697
Cabo Verde,3633.134,74.87068293,2.292,507258
Costa Rica,10528.181,79.921,1.795,4706433
Cyprus,24866.778,79.80431707,1.461,1141652
