Date,Brazil_Export_China,Ayr,Alberta,Jasper,Ida Grove,St Joseph,USG,PNW,Barreirias,Sorriso,RioVerde,PontaGrossa,Rondonopolis,Parangua,Santos,Pecem,Ocean_USG,Ocean_PNW,Ocean_Canal,Ocean_Cape,DCV,TWC,MM,ILL,ST LOUIS,CINC,LOH,CAR-MEM,Para_Bunge,Santarem_Cargill,Santos_ADM,BRA_USD
1/1/2018,1314.3136,-0.874,-0.761,-0.803,-0.704,-0.467,0.572,0.892,-0.910,-1.879,-0.702,-0.005,-1.152,0.722,0.794,1.413,1.07,0.61,1.13,0.89,0.082,0.87,0.64,0.51,0.32,0.41,0.35,0.18,8.95,0.80,3.22,3.21
2/1/2018,4177.2385,-0.978,-0.861,-0.853,-0.714,-0.550,0.445,0.804,-1.183,-2.093,-1.145,-0.180,-1.361,0.584,0.707,1.451,1.07,0.62,1.13,0.90,0.061,0.95,0.74,0.52,0.34,0.47,0.41,0.21,11.68,5.80,8.38,3.24
3/1/2018,8068.234,-0.900,-0.874,-0.902,-0.756,-0.582,0.704,0.921,-1.168,-1.963,-1.253,-0.017,-1.357,0.854,0.977,1.799,1.07,0.61,1.13,0.90,0.074,1.02,0.81,0.70,0.47,0.66,0.45,0.34,5.11,2.69,6.46,3.28
4/1/2018,8441.199,-0.947,-0.836,-0.860,-0.678,-0.479,0.943,0.958,-1.082,-1.567,-0.936,0.364,-0.837,1.192,1.467,2.171,1.03,0.58,1.09,0.86,0.179,1.13,0.94,0.81,0.58,0.74,0.65,0.40,2.35,2.45,5.06,3.41
5/1/2018,8008.76,-0.949,-0.784,-0.819,-0.632,-0.372,0.811,0.944,-1.341,-1.564,-0.992,0.057,-0.922,0.705,0.959,1.599,1.02,0.57,1.08,0.85,0.293,1.00,0.75,0.65,0.41,0.49,0.42,0.28,9.03,4.10,6.41,3.63
6/1/2018,7166.638,-0.844,-0.754,-0.755,-0.569,-0.249,0.645,0.995,-0.715,-1.793,-0.846,0.378,-0.687,1.140,1.384,2.345,1.11,0.62,1.18,0.94,0.139,1.01,0.82,0.70,0.46,0.55,0.48,0.32,8.60,2.45,6.90,3.78
7/1/2018,6538.528,-0.943,-0.823,-0.741,-0.529,-0.196,0.630,1.006,-0.236,-0.286,0.191,1.397,0.089,2.078,2.392,1.781,1.20,0.67,1.28,1.02,0.038,0.92,0.72,0.62,0.39,0.53,0.46,0.27,6.04,2.44,5.80,3.82
8/1/2018,5782.542,-1.093,-1.015,-0.844,-0.699,-0.528,0.510,0.902,-0.425,-0.532,0.209,1.084,-0.124,1.899,2.218,1.699,1.18,0.68,1.27,1.00,0.030,1.09,0.88,0.76,0.46,0.65,0.56,0.34,2.64,7.96,6.36,3.93
9/1/2018,5373.192,-1.245,-1.256,-1.009,-0.948,-0.791,0.197,0.612,-0.355,-0.224,0.736,1.561,0.191,2.413,2.644,1.616,1.22,0.70,1.31,1.05,0.007,0.98,0.81,0.70,0.49,0.69,0.60,0.37,1.79,3.23,1.95,4.11
10/1/2018,4065.976,-1.548,-1.233,-1.031,-0.935,-0.828,0.228,0.565,-0.099,-0.113,1.000,1.596,0.282,2.506,2.739,1.533,1.18,0.67,1.27,1.01,-0.017,0.95,0.81,0.70,0.53,0.64,0.55,0.38,0.32,2.82,3.72,3.76
