Date,DCV(USDcar),DCV ($/bu)
1/4/2013,-62.5,-0.017857143
1/11/2013,-100,-0.028571429
1/18/2013,-25,-0.007142857
1/25/2013,-50,-0.014285714
2/1/2013,-37.5,-0.010714286
2/8/2013,75,0.021428571
2/15/2013,137.5,0.039285714
2/22/2013,25,0.007142857
3/1/2013,-25,-0.007142857
3/8/2013,-50,-0.014285714
3/15/2013,-37.5,-0.010714286
3/22/2013,-75,-0.021428571
3/29/2013,-100,-0.028571429
4/5/2013,-212.5,-0.060714286
4/12/2013,-250,-0.071428571
4/19/2013,-200,-0.057142857
4/26/2013,-100,-0.028571429
5/3/2013,-162.5,-0.046428571
5/10/2013,-112.5,-0.032142857
5/17/2013,-100,-0.028571429
5/24/2013,-75,-0.021428571
5/31/2013,0,0
6/7/2013,37.5,0.010714286
6/14/2013,-25,-0.007142857
6/21/2013,-75,-0.021428571
6/28/2013,-100,-0.028571429
7/5/2013,-162.5,-0.046428571
7/12/2013,-25,-0.007142857
7/19/2013,-175,-0.05
7/26/2013,-75,-0.021428571
8/2/2013,-37.5,-0.010714286
8/8/2013,-100,-0.028571429
8/15/2013,-100,-0.028571429
8/22/2013,50,0.014285714
8/29/2013,400,0.114285714
9/5/2013,450,0.128571429
9/12/2013,700,0.2
9/19/2013,550,0.157142857
9/26/2013,1000,0.285714286
10/3/2013,1200,0.342857143
10/10/2013,1100,0.314285714
10/17/2013,1300,0.371428571
10/24/2013,1550,0.442857143
10/31/2013,1500,0.428571429
11/7/2013,650,0.185714286
11/14/2013,700,0.2
11/21/2013,1100,0.314285714
11/28/2013,850,0.242857143
12/5/2013,2000,0.571428571
12/12/2013,2300,0.657142857
12/19/2013,3500,1
12/26/2013,2000,0.571428571
1/2/2014,1800,0.514285714
1/9/2014,4000,1.142857143
1/16/2014,2700,0.771428571
1/23/2014,1400,0.4
1/30/2014,1500,0.428571429
2/6/2014,3500,1
2/13/2014,1800,0.514285714
2/20/2014,3200,0.914285714
2/27/2014,2900,0.828571429
3/6/2014,4000,1.142857143
3/13/2014,3500,1
3/20/2014,3000,0.857142857
3/27/2014,2500,0.714285714
4/3/2014,2000,0.571428571
4/10/2014,1800,0.514285714
4/17/2014,2000,0.571428571
4/24/2014,1500,0.428571429
5/1/2014,950,0.271428571
5/8/2014,100,0.028571429
5/15/2014,800,0.228571429
5/29/2014,700,0.2
6/5/2014,600,0.171428571
6/12/2014,700,0.2
6/19/2014,850,0.242857143
6/26/2014,1300,0.371428571
7/3/2014,1500,0.428571429
7/10/2014,1900,0.542857143
7/17/2014,3000,0.857142857
7/25/2014,1500,0.428571429
8/1/2014,2400,0.685714286
8/8/2014,1500,0.428571429
8/15/2014,1800,0.514285714
8/22/2014,1450,0.414285714
8/29/2014,1380,0.394285714
9/5/2014,2690,0.768571429
9/12/2014,4000,1.142857143
9/19/2014,5000,1.428571429
9/26/2014,5000,1.428571429
10/3/2014,4500,1.285714286
10/10/2014,5000,1.428571429
10/17/2014,2625,0.75
10/24/2014,2500,0.714285714
10/31/2014,1400,0.4
11/7/2014,700,0.2
11/14/2014,0,0
11/21/2014,0,0
11/28/2014,-100,-0.028571429
12/5/2014,50,0.014285714
12/12/2014,400,0.114285714
12/19/2014,50,0.014285714
12/26/2014,0,0
1/2/2015,-700,-0.2
1/9/2015,-150,-0.042857143
1/16/2015,-250,-0.071428571
1/23/2015,0,0
1/30/2015,-100,-0.028571429
2/6/2015,0,0
2/13/2015,-100,-0.028571429
2/20/2015,0,0
2/27/2015,-75,-0.021428571
3/6/2015,0,0
3/13/2015,-50,-0.014285714
3/20/2015,50,0.014285714
3/27/2015,-100,-0.028571429
4/3/2015,-175,-0.05
4/10/2015,-200,-0.057142857
4/17/2015,-175,-0.05
4/24/2015,-275,-0.078571429
5/1/2015,-350,-0.1
5/8/2015,-262.5,-0.075
5/15/2015,-300,-0.085714286
5/22/2015,-325,-0.092857143
5/29/2015,-350,-0.1
6/5/2015,-350,-0.1
6/12/2015,-287.5,-0.082142857
6/19/2015,-225,-0.064285714
6/26/2015,-200,-0.057142857
7/3/2015,-150,-0.042857143
7/10/2015,50,0.014285714
7/17/2015,50,0.014285714
7/24/2015,-75,-0.021428571
7/31/2015,-50,-0.014285714
8/7/2015,-250,-0.071428571
8/14/2015,-150,-0.042857143
8/21/2015,-237.5,-0.067857143
8/28/2015,-250,-0.071428571
9/4/2015,0,0
9/11/2015,400,0.114285714
9/18/2015,500,0.142857143
9/25/2015,400,0.114285714
10/2/2015,212.5,0.060714286
10/9/2015,0,0
10/16/2015,-100,-0.028571429
10/23/2015,-250,-0.071428571
10/30/2015,-375,-0.107142857
11/6/2015,-450,-0.128571429
11/13/2015,-300,-0.085714286
11/20/2015,-350,-0.1
11/27/2015,-250,-0.071428571
12/4/2015,-150,-0.042857143
12/11/2015,-200,-0.057142857
12/18/2015,-175,-0.05
