Date,BRL =
2013-01-02,2.0454
2013-01-03,2.0457
2013-01-04,2.0325
2013-01-07,2.0278
2013-01-08,2.0408
2013-01-09,2.0406
2013-01-10,2.0288
2013-01-11,2.0338
2013-01-14,2.0315
2013-01-15,2.0357
2013-01-16,2.0423
2013-01-17,2.0397
2013-01-18,2.0414
2013-01-21,2.0414
2013-01-22,2.0428
2013-01-23,2.0354
2013-01-24,2.0301
2013-01-25,2.031
2013-01-28,1.9955
2013-01-29,1.9857
2013-01-30,1.9893
2013-01-31,1.9916
2013-02-01,1.988
2013-02-04,1.9955
2013-02-05,1.984
2013-02-06,1.9913
2013-02-07,1.9667
2013-02-08,1.9718
2013-02-13,1.9646
2013-02-14,1.9573
2013-02-15,1.9693
2013-02-18,1.9633
2013-02-19,1.9554
2013-02-20,1.9621
2013-02-21,1.9728
2013-02-22,1.9726
2013-02-25,1.9835
2013-02-26,1.9822
2013-02-27,1.9729
2013-02-28,1.9775
2013-03-01,1.98
2013-03-04,1.9698
2013-03-05,1.964
2013-03-06,1.9703
2013-03-07,1.9584
2013-03-08,1.9439
2013-03-11,1.9564
2013-03-12,1.9646
2013-03-13,1.9718
2013-03-14,1.9717
2013-03-15,1.9828
2013-03-18,1.9829
2013-03-19,1.9849
2013-03-20,1.9898
2013-03-21,2.0078
2013-03-22,2.0079
2013-03-25,2.0131
2013-03-26,2.0169
2013-03-27,2.0109
2013-03-28,2.0219
2013-04-01,2.0211
2013-04-02,2.019
2013-04-03,2.0248
2013-04-04,2.0155
2013-04-05,1.9854
2013-04-08,1.9916
2013-04-09,1.9813
2013-04-10,1.9736
2013-04-11,1.9748
2013-04-12,1.9686
2013-04-15,2.0021
2013-04-16,1.9884
2013-04-17,2.0006
2013-04-18,2.019
2013-04-19,2.0111
2013-04-22,2.021
2013-04-23,2.0238
2013-04-24,2.0105
2013-04-25,2.0015
2013-04-26,1.9987
2013-04-29,2.0075
2013-04-30,2.0014
2013-05-02,2.0088
2013-05-03,2.0098
2013-05-06,2.0093
2013-05-07,2.0077
2013-05-08,2.0055
2013-05-09,2.014
2013-05-10,2.0204
2013-05-13,2.0077
2013-05-14,2.0208
2013-05-15,2.0222
2013-05-16,2.0268
2013-05-17,2.0351
2013-05-20,2.0399
2013-05-21,2.0395
2013-05-22,2.0495
2013-05-23,2.0437
2013-05-24,2.0517
2013-05-27,2.0571
2013-05-28,2.0749
2013-05-29,2.1105
2013-05-31,2.1386
2013-06-03,2.1244
2013-06-04,2.1251
2013-06-05,2.1295
2013-06-06,2.1298
2013-06-07,2.132
2013-06-10,2.1471
2013-06-11,2.1326
2013-06-12,2.1558
2013-06-13,2.1206
2013-06-14,2.1529
2013-06-17,2.1712
2013-06-18,2.1821
2013-06-19,2.2255
2013-06-20,2.2575
2013-06-21,2.2422
2013-06-24,2.227
2013-06-25,2.2137
2013-06-26,2.1867
2013-06-27,2.1989
2013-06-28,2.2322
2013-07-01,2.2294
2013-07-02,2.2548
2013-07-03,2.2692
2013-07-04,2.2491
2013-07-05,2.2537
2013-07-08,2.2638
2013-07-09,2.2601
2013-07-10,2.2645
2013-07-11,2.2548
2013-07-12,2.2674
2013-07-15,2.2201
