Location,Longitude,Latitude
"Ayr, ND",47.041775,-97.49066
"Alberta, MN",45.57366,-96.04769
"Jasper, MN",43.8535,-96.39906
"Ida Grove, IA",42.34542,-95.47124
"St Joseph, MO",39.7666,-94.85607
USG,29.951763,-90.074615
PNW,46.18909,-123.83471
"Barreirias, BA",-12.14769,-44.99496
"Sorriso, MT",-12.558622,-55.714558
"Rio Verde, MT",-18.925394,-54.843852
"Ponta Grossa, PR",-25.091888,-50.159737
"Rondonopolis, MT",-16.46587,-54.62234
"Parangua, PR",-25.52064,-48.50935
"Santos, SP",-23.96144,-46.32807
"Pecem, CE",-3.532126,-38.80311
