fips_code,county,date,production(bu)
38027,EDDY,2019,2101000
38031,FOSTER,2019,4356000
38093,STUTSMAN,2019,9542000
38103,WELLS,2019,5972000
38003,BARNES,2019,9365000
38017,CASS,2019,14724000
38039,GRIGGS,2019,3542000
38091,STEELE,2019,4435000
38097,TRAILL,2019,5728000
38009,BOTTINEAU,2019,5570000
38049,MCHENRY,2019,4153000
38069,PIERCE,2019,3419000
38019,CAVALIER,2019,2850000
38035,GRAND FORKS,2019,6162000
38063,NELSON,2019,3526000
38067,PEMBINA,2019,2755000
38095,TOWNER,2019,3630000
38013,BURKE,2019,882000
38061,MOUNTRAIL,2019,1822000
38075,RENVILLE,2019,2980000
38101,WARD,2019,5336000
38029,EMMONS,2019,3374000
38037,GRANT,2019,323000
38085,SIOUX,2019,351000
38021,DICKEY,2019,4789000
38045,LA MOURE,2019,7434000
38073,RANSOM,2019,4369000
38077,RICHLAND,2019,10102000
38081,SARGENT,2019,5493000
38001,ADAMS,2019,230000
38041,HETTINGER,2019,240000
38053,MCKENZIE,2019,181000
38055,MCLEAN,2019,4719000
38065,OLIVER,2019,794000
38027,EDDY,2018,2190000
38043,KIDDER,2018,3002000
38093,STUTSMAN,2018,17984000
38103,WELLS,2018,7088000
38003,BARNES,2018,13118000
38017,CASS,2018,20666000
38039,GRIGGS,2018,4850000
38091,STEELE,2018,6564000
38097,TRAILL,2018,8044000
38005,BENSON,2018,5778000
38009,BOTTINEAU,2018,6194000
38049,MCHENRY,2018,3968000
38069,PIERCE,2018,3611000
38079,ROLETTE,2018,1904000
38019,CAVALIER,2018,4473000
38035,GRAND FORKS,2018,7830000
38063,NELSON,2018,4438000
38067,PEMBINA,2018,5141000
38071,RAMSEY,2018,5081000
38095,TOWNER,2018,4265000
38099,WALSH,2018,4150000
38013,BURKE,2018,961000
38061,MOUNTRAIL,2018,1980000
38075,RENVILLE,2018,2456000
38101,WARD,2018,4655000
38015,BURLEIGH,2018,3473000
38029,EMMONS,2018,4181000
38021,DICKEY,2018,9327000
38045,LA MOURE,2018,13986000
38073,RANSOM,2018,6901000
38077,RICHLAND,2018,15540000
38081,SARGENT,2018,9175000
38053,MCKENZIE,2018,76000
38055,MCLEAN,2018,4278000
38065,OLIVER,2018,667000
38001,ADAMS,2017,58000
38003,BARNES,2017,14060000
38005,BENSON,2017,6593000
38009,BOTTINEAU,2017,9215000
38013,BURKE,2017,734931
38015,BURLEIGH,2017,3247000
38017,CASS,2017,18880000
38019,CAVALIER,2017,5893000
38021,DICKEY,2017,8303000
38023,DIVIDE,2017,463661
38025,DUNN,2017,25723
38027,EDDY,2017,2827000
38029,EMMONS,2017,5370000
38031,FOSTER,2017,4708000
38035,GRAND FORKS,2017,8786000
38037,GRANT,2017,123055
38039,GRIGGS,2017,4498000
38041,HETTINGER,2017,71000
38043,KIDDER,2017,2379000
38045,LA MOURE,2017,10939000
38047,LOGAN,2017,3112000
38049,MCHENRY,2017,4265000
38051,MCINTOSH,2017,4115000
38053,MCKENZIE,2017,86500
38055,MCLEAN,2017,3461961
38057,MERCER,2017,222714
38059,MORTON,2017,1107812
38061,MOUNTRAIL,2017,1456000
38063,NELSON,2017,5243000
38065,OLIVER,2017,497660
38067,PEMBINA,2017,7195000
38069,PIERCE,2017,4392000
38071,RAMSEY,2017,5841000
38073,RANSOM,2017,6709000
38075,RENVILLE,2017,4233000
38077,RICHLAND,2017,13572000
38079,ROLETTE,2017,2150000
38081,SARGENT,2017,8360000
38083,SHERIDAN,2017,2650000
38085,SIOUX,2017,57860
38087,SLOPE,2017,22000
38089,STARK,2017,35848
38091,STEELE,2017,6642000
38093,STUTSMAN,2017,16210000
38095,TOWNER,2017,5194000
38097,TRAILL,2017,8530000
38099,WALSH,2017,5538000
38101,WARD,2017,5689000
38103,WELLS,2017,8276000
38105,WILLIAMS,2017,271000
38031,FOSTER,2016,6003000
38083,SHERIDAN,2016,3000000
38093,STUTSMAN,2016,17863000
38103,WELLS,2016,8362000
38003,BARNES,2016,15760000
38017,CASS,2016,21586000
38039,GRIGGS,2016,5389000
38091,STEELE,2016,6987000
38097,TRAILL,2016,9167000
38005,BENSON,2016,6673000
38009,BOTTINEAU,2016,7648000
38049,MCHENRY,2016,4888000
38069,PIERCE,2016,4226000
38079,ROLETTE,2016,1715000
38019,CAVALIER,2016,4927000
38035,GRAND FORKS,2016,8077000
38063,NELSON,2016,4919000
38067,PEMBINA,2016,6535000
38071,RAMSEY,2016,5166000
38095,TOWNER,2016,4374000
38099,WALSH,2016,4822000
38075,RENVILLE,2016,3649000
38101,WARD,2016,6106000
38105,WILLIAMS,2016,291000
