,"Alberta, MN","Ayr, ND",BRL=,Barreirias,"Ida Grove, IA","Jasper, MN",Ponta Grossa,Rio Verde,Rondonopolis,Sorriso,"St. Joseph, MO"
"Ayr, ND",0.5212190915626835,0.9999999999999998,-0.15523100305457033,0.0670076423750415,0.3847034044479926,0.31827159794344256,0.0625961477172489,0.006872227260133267,0.010864180924000362,-0.028694766879761757,0.3323424565965326
"Alberta, MN",1.0000000000000002,0.5212190915626835,-0.5062778068381945,-0.12002275225116174,0.8010644679384319,0.8734315603503504,-0.04336817127041747,-0.13394196781517148,-0.13765191052533782,-0.1994545537638325,0.6540709251892205
"Jasper, MN",0.8734315603503504,0.31827159794344256,-0.5424299435980203,-0.27754911580837666,0.8147036350276738,1.0,-0.18921175349270689,-0.2546257863715481,-0.27340944660509675,-0.3199062174973669,0.687557367418398
"Ida Grove, IA",0.8010644679384319,0.3847034044479926,-0.536643063526307,-0.3160749650536579,0.9999999999999999,0.8147036350276738,-0.209925868157869,-0.30233534059454703,-0.3047236529403381,-0.3571539142814066,0.7808143440014422
"St. Joseph, MO",0.6540709251892205,0.3323424565965326,-0.549543472522062,-0.3889534506456551,0.7808143440014422,0.687557367418398,-0.2813246416304109,-0.38103327977605744,-0.3944168679101532,-0.4535308297551528,1.0000000000000002
Barreirias,-0.12002275225116174,0.0670076423750415,0.4906263840076693,1.0000000000000002,-0.3160749650536579,-0.27754911580837666,0.8581636487289637,0.904468962237332,0.8894720928182365,0.9016073759402299,-0.3889534506456551
Sorriso,-0.1994545537638325,-0.028694766879761757,0.5278164562556692,0.9016073759402299,-0.3571539142814066,-0.3199062174973669,0.8820553531011625,0.9455609709410072,0.9785113601724362,1.0,-0.4535308297551528
Rio Verde,-0.13394196781517148,0.006872227260133267,0.3748735051061849,0.904468962237332,-0.30233534059454703,-0.2546257863715481,0.9205458577812965,1.0000000000000002,0.9529132109673698,0.9455609709410072,-0.38103327977605744
Ponta Grossa,-0.04336817127041747,0.0625961477172489,0.22561337709821022,0.8581636487289637,-0.209925868157869,-0.18921175349270689,1.0000000000000002,0.9205458577812965,0.8997830071677586,0.8820553531011625,-0.2813246416304109
Rondonopolis,-0.13765191052533782,0.010864180924000362,0.41808757139038,0.8894720928182365,-0.3047236529403381,-0.27340944660509675,0.8997830071677586,0.9529132109673698,1.0,0.9785113601724362,-0.3944168679101532
BRL=,-0.5062778068381945,-0.15523100305457033,1.0,0.4906263840076693,-0.536643063526307,-0.5424299435980203,0.22561337709821022,0.3748735051061849,0.41808757139038,0.5278164562556692,-0.549543472522062
