,"Alberta, MN","Ayr, ND",Barreirias,"Ida Grove, IA","Jasper, MN",Ponta Grossa,Rio Verde,Rondonopolis,Sorriso,"St. Joseph, MO"
"Ayr, ND",0.042709779888967105,0.07716644848322013,0.01676234404863354,0.03471211711805337,0.031960081856836985,0.0140664988998655,0.0020389670563409693,0.00334444174730858,-0.009666502141377502,0.032622052946014654
"Alberta, MN",0.08701327679060135,0.042709779888967105,-0.031882509627414284,0.07675400515091077,0.09313595765892584,-0.01034875307881775,-0.04219955552623355,-0.04499739742161229,-0.0713492007291423,0.06817557544569551
"Jasper, MN",0.09313595765892584,0.031960081856836985,-0.09035074674784789,0.09566128547228578,0.13067469167282694,-0.055330934602125556,-0.09830974394777518,-0.10952711493807497,-0.1402396493451155,0.08782454090540623
"Ida Grove, IA",0.07675400515091077,0.03471211711805337,-0.09245429073182464,0.1055070870864356,0.09566128547228578,-0.05516084720935527,-0.10488857177437393,-0.10968806431691716,-0.14068526888403443,0.0896189405656413
"St. Joseph, MO",0.06817557544569551,0.032622052946014654,-0.12376703617119064,0.0896189405656413,0.08782454090540623,-0.08041612351236882,-0.14380452596413945,-0.1544468575366639,-0.19434367683400328,0.12485973599555496
Barreirias,-0.031882509627414284,0.01676234404863354,0.8109467028410737,-0.09245429073182464,-0.09035074674784789,0.6251589078882317,0.8699379244308303,0.8876481923529289,0.9846139996601383,-0.12376703617119064
Sorriso,-0.0713492007291423,-0.009666502141377502,0.9846139996601383,-0.14068526888403443,-0.1402396493451155,0.865311325177716,1.2247300445998615,1.315014847897,1.4706346308319957,-0.19434367683400328
Rio Verde,-0.04219955552623355,0.0020389670563409693,0.8699379244308303,-0.10488857177437393,-0.09830974394777518,0.7953678301127307,1.1407668158535376,1.127883329748494,1.2247300445998615,-0.14380452596413945
Ponta Grossa,-0.01034875307881775,0.0140664988998655,0.6251589078882317,-0.05516084720935527,-0.055330934602125556,0.6544075586645596,0.7953678301127307,0.8066299266929622,0.865311325177716,-0.08041612351236882
Rondonopolis,-0.04499739742161229,0.00334444174730858,0.8876481923529289,-0.10968806431691716,-0.10952711493807497,0.8066299266929622,1.127883329748494,1.2280746884220373,1.315014847897,-0.1544468575366639
