Date,US_Export_China,Ayr,Alberta,Jasper,Ida Grove,St Joseph,USG,PNW,Barreirias,Sorriso,RioVerde,PontaGrossa,Rondonopolis,Parangua,Santos,Pecem,Ocean_USG,Ocean_PNW,Ocean_Canal,Ocean_Cape,DCV,TWC,MM,ILL,ST LOUIS,CINC,LOH,CAR-MEM,Para_Bunge,Santarem_Cargill,Santos_ADM,BRA_USD
1/1/2013,4616,-0.461,-0.322,-0.351,-0.297,0.103,1.069,1.504,-0.325,-3.442,-1.553,-0.182,-2.307,0.322,0.558,1.060,1.04,0.40,1.22,1.00,-0.017,0.96,0.74,0.52,0.39,0.37,0.32,0.19,5.40,1.60,6.60,2.03
2/1/2013,2573.3,-0.444,-0.305,-0.279,-0.194,0.089,0.977,1.430,-2.286,-4.181,-2.111,-0.778,-3.060,0.311,0.605,1.029,1.07,0.43,1.26,1.04,0.014,0.85,0.62,0.45,0.30,0.30,0.26,0.18,9.04,2.44,16.80,1.97
3/1/2013,1062.2,-0.598,-0.316,-0.206,-0.194,0.143,0.772,1.266,-3.063,-4.721,-3.467,-1.314,-3.511,-0.021,0.190,0.997,1.13,0.46,1.33,1.10,-0.016,0.75,0.52,0.44,0.30,0.30,0.26,0.17,4.31,2.48,24.16,1.98
4/1/2013,683.2,-0.716,-0.322,-0.063,-0.043,0.228,1.113,1.159,-3.085,-4.442,-3.115,-1.496,-3.329,-0.388,-0.042,0.966,1.06,0.45,1.25,1.02,-0.054,0.72,0.48,0.27,0.27,0.27,0.24,0.17,6.10,1.20,26.20,2.00
5/1/2013,265.7,-0.705,-0.398,-0.107,-0.025,0.038,1.025,1.305,-3.349,-4.171,-3.184,-1.697,-3.178,-0.728,-1.212,1.708,0.98,0.43,1.15,0.94,-0.026,0.68,0.47,0.40,0.26,0.27,0.23,0.17,13.15,1.38,12.57,2.04
6/1/2013,0,-0.922,-0.474,-0.214,-0.067,-0.029,0.390,1.099,-3.290,-4.172,-2.996,-1.723,-3.155,-0.490,-1.694,0.967,1.06,0.42,1.25,1.02,-0.012,0.70,0.50,0.43,0.27,0.28,0.24,0.18,10.00,2.35,8.55,2.17
7/1/2013,0,-0.948,-0.535,-0.171,-0.103,0.020,-0.721,1.525,-3.059,-4.362,-3.122,-2.037,-3.140,-0.116,-1.643,1.011,1.10,0.42,1.30,1.07,-0.031,0.66,0.47,0.39,0.27,0.29,0.25,0.18,9.10,1.68,13.72,2.25
8/1/2013,0,-1.165,-0.266,0.179,0.186,0.325,0.428,1.241,-1.699,-3.122,-2.100,-0.718,-2.354,0.883,-0.179,0.562,1.04,0.42,1.23,1.01,0.012,0.68,0.56,0.48,0.36,0.49,0.42,0.26,11.02,4.35,12.27,2.35
9/1/2013,295.4,-1.170,-0.332,-0.251,-0.230,0.344,0.969,1.232,-0.623,-1.843,-0.818,0.569,-1.010,1.044,0.335,1.635,1.28,0.52,1.52,1.27,0.193,0.91,0.80,0.69,0.59,0.77,0.66,0.47,7.90,1.35,19.30,2.27
10/1/2013,4486.8,-0.607,-0.533,-0.535,-0.458,-0.362,1.298,1.597,0.257,-0.423,0.915,2.108,0.511,2.575,0.827,1.752,1.26,0.50,1.49,1.25,0.380,1.11,0.97,0.84,0.67,0.93,0.80,0.50,8.77,1.37,12.20,2.19
11/1/2013,7784.9,-0.609,-0.467,-0.421,-0.401,-0.114,1.298,1.491,-0.463,-0.611,0.614,1.530,0.331,2.499,0.842,1.576,1.28,0.47,1.52,1.27,0.236,0.93,0.87,0.85,0.66,0.90,0.78,0.46,10.00,0.40,12.60,2.30
12/1/2013,4517.4,-0.671,-0.521,-0.498,-0.404,-0.222,1.304,1.496,-0.596,-1.308,0.596,0.999,-0.257,0.440,0.857,2.559,1.33,0.75,1.57,1.32,0.700,0.92,0.84,0.79,0.55,0.66,0.57,0.29,7.80,1.10,5.00,2.35
