Date,Paraguana Bunge,Santarem Cargill,Santos ADM
1/1/2013,5.4,1.6,6.6
2/1/2013,9.0375,2.4375,16.8
3/1/2013,4.3125,2.475,24.1625
4/1/2013,6.1,1.2,26.2
5/1/2013,13.15,1.38,12.57
6/1/2013,10,2.35,8.55
7/1/2013,9.1,1.68,13.72
8/1/2013,11.02333333,4.346,12.274
9/1/2013,7.9,1.35,19.3
10/1/2013,8.77,1.37,12.2
11/1/2013,10,0.4,12.6
12/1/2013,7.8,1.1,5
1/1/2014,4.02,1.74,1.74
2/1/2014,2.9,2.4,10.7625
3/1/2014,6.45,3,9.3625
4/1/2014,3.64,2.04,7.53
5/1/2014,4.73,1.37,2.536666667
6/1/2014,0.554166667,10.4125,1.720833333
7/1/2014,1.25,4.5,3.25
8/1/2014,0.55,8.25,6.275
9/1/2014,0.1,4.05,4.508333333
10/1/2014,1.01,0.16,2.34
11/1/2014,0.7,0.35,2.333333333
12/1/2014,0.64,2.026666667,2.56
1/1/2015,2.133333333,3.306666667,1.76
2/1/2015,5.266666667,4.866666667,7.8
3/1/2015,0.64,10.16,12.64
4/1/2015,0.64,18.88,18.57
5/1/2015,0.848,0.2,12.5
6/1/2015,0.8,1.12,7.85
7/1/2015,0.85,6.8,10.54
8/1/2015,0.9,12.75,13.6
9/1/2015,0.9,5.2125,12.4875
10/1/2015,0.96,6.51,13.13
11/1/2015,1.74,14.1,14.62
12/1/2015,1.933333333,13.42,13.11333333
1/1/2016,4.533333333,9.4,10.41333333
2/1/2016,4.7625,9.6625,9.1
3/1/2016,4.64,13.23,13.28
4/1/2016,10.23333333,7.983333333,9.433333333
5/1/2016,7.975,3.0125,2.6375
6/1/2016,3.88,2.106666667,7.413333333
7/1/2016,3.01,3.28,7.99
8/1/2016,9.15,1.45,1.55
9/1/2016,6.27,0.2,1.3
10/1/2016,6.5375,0.3125,0.35
11/1/2016,4.476666667,0,0.81
12/1/2016,4.12,0,0.32
1/1/2017,2.96,1.44,2.05
2/1/2017,11.25,5,9.4
3/1/2017,8.946666667,11.21333333,12.77333333
4/1/2017,2.2625,7.775,10.65
5/1/2017,5.907833333,2.95,3.67
6/1/2017,3.25,4.6,4.775
7/1/2017,4.08,5,7.24
8/1/2017,2,8.25,1.5
9/1/2017,5.6,7.6,4.533333333
10/1/2017,4.77,2.48,11.26666667
11/1/2017,0.68,4.3,3.07
12/1/2017,1.586666667,3.653333333,4.84
1/1/2018,8.95,0.8,3.223333333
2/1/2018,11.68333333,5.8,8.383333333
3/1/2018,5.11,2.69,6.46
4/1/2018,2.35,2.45,5.06
5/1/2018,9.03,4.1,6.41
6/1/2018,8.6,2.45,6.9
7/1/2018,6.04,2.44,5.8
8/1/2018,2.64,7.96,6.36
9/1/2018,1.79,3.23,1.95
10/1/2018,0.32,2.82,3.72
11/1/2018,0,2.81,2.62
12/1/2018,0,6.3,2.283333333
1/1/2019,0,8.3,3.1
2/1/2019,0.2,4.4,9.1
3/1/2019,2.8,5,7
4/1/2019,2.9,2,4
5/1/2019,2.8,5.4,2.2
6/1/2019,1.9,15.4,3.9
7/1/2019,3,19.7,2.3
8/1/2019,6.2,14.7,3
9/1/2019,1.1,4,3.6
10/1/2019,2.2,1.2,3.4
11/1/2019,1.5,1.7,2
12/1/2019,0,0.7,2
