Date,USG to China,PNW to China,Brazil Panama Canal to China,Brazil Cape Hope to China,BRL=
1/1/2010,61.18,35.05,72.38,62.13,1.7425
1/4/2010,63.39,37.62,75.13,64.46,1.7212
1/5/2010,64.53,30.11,76.51,65.64,1.73
1/6/2010,65.6,30.87,77.82,66.83,1.7322
1/7/2010,66.57,31.42,79,67.83,1.7455
1/8/2010,67.07,31.67,79.6,68.38,1.7257
1/11/2010,67.2,31.75,79.76,68.7,1.735
1/12/2010,66.35,31.8,78.72,67.67,1.747
1/13/2010,64.69,31.56,76.69,65.86,1.7565
1/14/2010,63.12,30.82,74.8,64.09,1.7575
1/15/2010,61.74,30.4,73.13,62.58,1.7712
1/18/2010,61.01,30.15,72.23,61.9,1.7595
1/19/2010,60.18,29.77,71.21,60.94,1.7706
1/20/2010,59.86,29.58,70.82,60.58,1.7885
1/21/2010,59.87,29.45,70.84,60.63,1.8025
1/22/2010,59.9,29.54,70.85,60.66,1.8157
1/25/2010,60.07,29.83,71.05,60.77,1.8205
1/26/2010,60.13,29.85,71.14,60.81,1.835
1/27/2010,59.53,29.82,70.42,60.1,1.852
1/28/2010,58.54,29.64,69.21,59.08,1.869
1/29/2010,57.54,29.53,68,58.01,1.8847
2/1/2010,56.05,29.17,66.21,56.41,1.8565
2/2/2010,54.37,28.81,64.2,54.57,1.8292
2/3/2010,54.29,28.41,64.12,54.51,1.85
2/4/2010,53.94,28.32,63.65,54.13,1.8734
2/5/2010,53.81,35.35,63.47,53.97,1.881
2/8/2010,53.75,28.15,63.39,53.92,1.875
2/9/2010,53.61,28.02,63.23,53.8,1.8465
2/10/2010,53.01,28.02,62.53,53.15,1.856
2/11/2010,52.91,28.1,62.43,52.98,1.8525
2/12/2010,52.57,27.98,62.01,52.61,1.8457
2/15/2010,52.35,27.82,61.73,52.39,1.8535
2/16/2010,52.91,27.8,62.45,52.9,1.8357
2/17/2010,53.91,27.78,63.66,54.03,1.8321
2/18/2010,54.84,28.12,64.79,55.13,1.8265
2/19/2010,55.45,28.03,65.52,55.8,1.8035
2/22/2010,56.12,28.15,66.35,56.47,1.811
2/23/2010,56.45,28.34,66.74,56.84,1.825
2/24/2010,57.08,28.43,67.51,57.55,1.8245
2/25/2010,57.46,28.37,67.92,57.95,1.823
2/26/2010,58.56,28.65,69.26,59.18,1.8067
3/1/2010,59.16,28.68,70,59.85,1.7955
3/2/2010,59.77,28.9,70.75,60.5,1.7917
3/3/2010,61.02,29.01,72.27,61.82,1.7897
3/4/2010,62.12,29.36,73.57,63.13,1.7878
3/5/2010,63.17,30.39,74.85,64.22,1.7777
3/8/2010,63.53,30.99,75.28,64.63,1.787
3/9/2010,63.57,30.99,75.32,64.71,1.7749
3/10/2010,63.68,31.25,75.46,64.75,1.7682
3/11/2010,64.25,31.03,76.13,65.49,1.7636
3/12/2010,65.02,31.28,77.05,66.34,1.762
3/15/2010,65.21,31.74,77.25,66.49,1.7628
3/16/2010,66.05,31.91,78.3,67.41,1.7662
3/17/2010,66.72,32.02,79.11,68.13,1.7662
3/18/2010,67.01,32.17,79.46,68.51,1.7898
3/19/2010,66.86,32.18,79.25,68.33,1.8004
3/22/2010,67.33,32.24,79.83,68.75,1.7864
3/23/2010,67.2,32.16,79.69,68.58,1.7762
3/24/2010,66.52,32.04,78.86,67.89,1.7997
3/25/2010,65.14,31.78,77.21,66.41,1.818
3/26/2010,63.37,31.32,75.05,64.54,1.8176
3/29/2010,61.99,31.05,73.42,62.92,1.7944
3/30/2010,60.59,39.63,71.72,61.47,1.7887
3/31/2010,60.6,30.34,71.72,61.5,1.7836
4/1/2010,61.17,30.46,72.42,62.11,1.763
4/2/2010,61.17,30.51,72.42,62.11,1.764
4/5/2010,61.17,30.51,72.42,62.11,1.7609
4/6/2010,61.66,40.22,73.03,62.42,1.7542
4/7/2010,62.28,30.59,73.77,63.17,1.7795
4/8/2010,62.97,30.82,74.61,63.93,1.778
4/9/2010,63.3,31.12,75.02,64.33,1.7647
4/12/2010,63.61,31.29,75.4,64.68,1.7532
4/13/2010,63.6,31.61,75.38,64.68,1.7485
4/14/2010,63.92,31.76,75.79,65.01,1.7446
4/15/2010,64.01,32.04,75.91,65.1,1.7484
4/16/2010,63.74,32.18,75.55,64.78,1.756
4/19/2010,63.31,32.29,75.02,64.35,1.7547
4/20/2010,63.08,32.26,74.76,64.08,1.7521
4/21/2010,62.6,31.94,74.19,63.6,1.752
4/22/2010,62.06,31.7,73.55,62.98,1.7643
4/23/2010,61.74,31.39,73.16,62.61,1.7562
4/26/2010,61.42,31.37,72.79,62.39,1.746
4/27/2010,61.48,31.12,72.84,62.46,1.7708
4/28/2010,62.08,31.3,73.56,63.03,1.7507
4/29/2010,62.78,31.59,74.43,63.84,1.7288
4/30/2010,62.91,31.72,74.58,64.03,1.734
5/3/2010,62.91,31.77,74.58,64.03,1.7267
5/4/2010,62.93,31.77,74.59,63.99,1.7632
5/5/2010,62.82,31.79,74.44,63.92,1.793
5/6/2010,63.18,31.95,74.85,64.26,1.8542
5/7/2010,63,32.19,74.59,64.11,1.8365
5/10/2010,63.61,32.33,75.36,64.76,1.771
5/11/2010,64.24,32.49,76.14,65.35,1.7887
5/12/2010,64.64,32.49,76.62,65.87,1.772
5/13/2010,65.13,32.49,77.21,66.4,1.7733
5/14/2010,65.11,32.49,77.16,66.4,1.797
5/17/2010,65.12,33.59,77.13,66.45,1.8
5/18/2010,66.21,33.29,78.44,67.5,1.8201
5/19/2010,67.22,33.31,79.64,68.65,1.8269
5/20/2010,67.45,33.25,79.88,68.9,1.8814
5/21/2010,67.07,33.16,79.43,68.47,1.8515
5/24/2010,66.55,33.04,78.78,67.9,1.868
5/25/2010,65.99,32.74,78.09,67.27,1.8436
5/26/2010,65.84,32.08,77.93,67.15,1.8715
5/27/2010,65.45,31.91,77.49,66.81,1.8138
5/28/2010,64.58,31.7,76.45,65.78,1.8168
5/31/2010,64.58,31.53,76.45,65.78,1.8198
6/1/2010,63.39,31.53,75.04,64.47,1.8475
6/2/2010,62.6,30.93,74.07,63.58,1.8175
6/3/2010,62,30.4,73.36,62.97,1.8194
6/4/2010,61.23,30.2,72.41,62.24,1.8625
6/7/2010,60.64,29.99,71.68,61.59,1.8785
6/8/2010,60.05,29.78,70.98,60.98,1.8535
6/9/2010,59.62,29.72,70.48,60.36,1.8498
6/10/2010,58.08,29.49,68.62,58.73,1.8015
6/11/2010,56.33,29.19,66.5,56.84,1.8087
6/14/2010,55.7,28.74,65.77,56.08,1.8108
6/15/2010,54.86,28.74,64.76,55.17,1.7845
6/16/2010,54.17,28.33,63.93,54.34,1.7851
6/17/2010,53.79,27.76,63.47,53.98,1.7803
6/18/2010,53.21,27.2,62.76,53.44,1.7708
6/21/2010,53.33,27.2,62.94,53.52,1.7711
6/22/2010,53.7,26.97,63.38,53.91,1.7879
6/23/2010,53.67,27.12,63.31,53.89,1.7866
6/24/2010,53.66,27.35,63.3,53.82,1.782
6/25/2010,53.5,27.42,63.11,53.68,1.778
6/28/2010,52.94,27.35,62.45,53.13,1.7812
6/29/2010,51.63,27.18,60.83,51.67,1.8116
6/30/2010,50.32,26.92,59.25,50.15,1.8037
7/1/2010,48.52,26.64,57.04,48.13,1.7896
7/2/2010,46.98,26.2,55.18,46.46,1.7695
7/5/2010,45.7,25.73,53.63,45.06,1.7748
7/6/2010,43.73,25.3,51.28,42.99,1.7789
7/7/2010,42.76,24.38,50.12,41.94,1.7655
7/8/2010,42.04,23.86,49.27,41.05,1.7636
7/9/2010,41.76,23.59,48.94,40.73,1.758
7/12/2010,41.79,23.47,48.97,40.75,1.7605
7/13/2010,42.53,23.3,49.89,41.55,1.7538
7/14/2010,43.15,22.92,50.65,42.19,1.7629
7/15/2010,43.49,23,51.04,42.57,1.7628
7/16/2010,44.18,23.06,51.87,43.35,1.7824
7/19/2010,44.66,23.25,52.46,43.9,1.7914
7/20/2010,44.9,23.36,52.76,44.17,1.7735
7/21/2010,45.26,23.38,53.19,44.6,1.7805
7/22/2010,46.48,23.51,54.68,45.81,1.7576
7/23/2010,47.43,23.69,55.82,46.83,1.7727
7/26/2010,48.02,23.83,56.54,47.54,1.7615
7/27/2010,48.19,24.13,56.72,47.82,1.7684
7/28/2010,48.79,24.24,57.44,48.44,1.7656
7/29/2010,49.68,24.39,58.53,49.55,1.7597
7/30/2010,49.96,24.59,58.87,49.86,1.7525
8/2/2010,50.85,24.88,59.99,50.81,1.7509
8/3/2010,50.95,25.12,60.12,50.89,1.7554
8/4/2010,50.45,25.11,59.52,50.31,1.7504
8/5/2010,50.03,24.81,59.01,49.88,1.7523
8/6/2010,50.18,24.61,59.18,49.98,1.758
8/9/2010,50.47,24.59,59.53,50.28,1.746
8/10/2010,50.92,24.66,60.06,50.79,1.7524
8/11/2010,51.25,24.76,60.44,51.09,1.7738
8/12/2010,51.6,25.1,60.84,51.45,1.7682
8/13/2010,51.6,25.04,60.82,51.5,1.7718
8/16/2010,51.84,25.14,61.11,51.72,1.7567
8/17/2010,52.53,25.12,61.97,52.52,1.7544
8/18/2010,52.68,25.12,62.13,52.73,1.7513
8/19/2010,53.34,25.46,62.93,53.43,1.7564
8/20/2010,53.8,25.75,63.47,53.86,1.7559
8/23/2010,54.04,25.99,63.75,54.12,1.769
8/24/2010,53.88,26.12,63.55,53.96,1.7708
8/25/2010,53.55,26.07,63.15,53.6,1.7633
8/26/2010,53.35,25.87,62.94,53.39,1.7613
8/27/2010,52.87,25.55,62.36,53,1.749
8/30/2010,52.87,25.37,62.36,53,1.7587
8/31/2010,52.65,33.86,62.09,52.61,1.7548
9/1/2010,52.6,25.26,62.04,52.61,1.7447
9/2/2010,52.86,25.39,62.34,52.83,1.7253
9/3/2010,53.63,25.77,63.26,53.77,1.7322
9/6/2010,54.59,25.8,64.43,54.81,1.7267
9/7/2010,55.21,26.21,65.17,55.48,1.7318
9/8/2010,55.75,26.9,65.84,56.03,1.7253
9/9/2010,56.08,27.07,66.24,56.31,1.7198
9/10/2010,56.07,26.98,66.22,56.4,1.7213
9/13/2010,55.94,26.94,66.08,56.34,1.7095
9/14/2010,55.65,26.8,65.73,55.9,1.7095
9/15/2010,54.74,26.54,64.63,54.91,1.7232
9/16/2010,53.85,25.77,63.56,53.92,1.7118
9/17/2010,53.3,25.13,62.89,53.42,1.7212
9/20/2010,53.38,24.94,63,53.29,1.7323
9/21/2010,53.09,24.75,62.64,53.25,1.7111
9/22/2010,52.51,24.64,61.93,52.47,1.7182
9/23/2010,52.04,24.48,61.37,51.93,1.7223
9/24/2010,51.78,24.33,61.06,51.5,1.7088
9/27/2010,51.04,24.95,60.15,51.02,1.7094
9/28/2010,50.69,24.07,59.75,50.45,1.7075
9/29/2010,49.85,23.82,58.74,49.6,1.7
9/30/2010,49.45,23.51,58.27,49.21,1.6871
10/1/2010,49.36,23.21,58.19,49,1.6892
10/4/2010,49.19,22.93,58,48.67,1.6972
10/5/2010,49.05,22.77,57.84,48.76,1.6631
10/6/2010,49.37,22.75,58.25,48.94,1.6779
10/7/2010,49.26,22.82,58.09,48.99,1.6809
10/8/2010,49.4,23.44,58.26,49.1,1.6643
10/11/2010,49.44,23.57,58.3,49.16,1.6701
10/12/2010,49.06,23.62,57.84,48.84,1.6697
10/13/2010,48.89,23.3,57.64,48.5,1.6512
10/14/2010,48.15,23.12,56.74,47.77,1.6595
10/15/2010,47.46,22.8,55.89,46.98,1.6651
10/18/2010,47.13,22.62,55.51,46.61,1.672
10/19/2010,46.65,22.5,54.91,46.14,1.6821
10/20/2010,46.58,22.69,54.83,46.07,1.6757
10/21/2010,46.47,22.6,54.7,45.97,1.6964
10/22/2010,46.69,22.65,54.96,46.18,1.7054
10/25/2010,47.35,22.89,55.77,46.98,1.6953
10/26/2010,47.92,23.24,56.46,47.53,1.7028
10/27/2010,48.16,23.66,56.73,47.8,1.7198
10/28/2010,48.47,24.06,57.13,48.12,1.704
10/29/2010,47.79,24.22,56.3,47.42,1.7007
11/1/2010,47.69,24.22,56.2,47.34,1.7033
11/2/2010,47.24,24.15,55.66,46.77,1.7037
11/3/2010,46.86,24.1,55.21,46.4,1.6896
11/4/2010,46.79,24.13,55.15,46.29,1.6695
11/5/2010,46.55,24.18,54.86,46.14,1.6785
11/8/2010,46.54,24.42,54.86,46.05,1.6998
11/9/2010,46.79,31.07,55.16,46.34,1.7002
11/10/2010,47.81,24.91,56.39,47.52,1.7071
11/11/2010,48.12,25.46,56.78,47.8,1.7153
11/12/2010,47.23,25.42,55.67,46.96,1.7214
11/15/2010,46.67,24.98,54.99,46.21,1.7216
11/16/2010,45.67,24.56,53.76,45.18,1.7398
11/17/2010,44.62,24.2,52.48,43.98,1.7259
11/18/2010,44.1,23.58,51.85,43.42,1.711
11/19/2010,43.81,23.26,51.49,43.19,1.7149
11/22/2010,44.05,23.08,51.78,43.36,1.7208
11/23/2010,44.61,22.96,52.46,43.95,1.7354
11/24/2010,45.72,23.01,53.83,45.09,1.7205
11/25/2010,46.94,23.19,55.32,46.55,1.7206
11/26/2010,47.4,23.35,55.86,46.93,1.7264
11/29/2010,47.97,23.33,56.56,47.67,1.7178
11/30/2010,48.13,23.34,56.75,47.93,1.7145
12/1/2010,48.26,23.1,56.91,47.97,1.705
12/2/2010,48.43,23.24,57.13,48.1,1.6955
12/3/2010,48.4,23.21,57.09,48.08,1.687
12/6/2010,48.25,23.21,56.91,48.04,1.6744
12/7/2010,48.16,23.19,56.8,47.92,1.6815
12/8/2010,48,23.13,56.59,47.78,1.6893
12/9/2010,47.85,23.04,56.41,47.54,1.7092
12/10/2010,47.45,22.88,55.92,47.14,1.7061
12/13/2010,47.12,22.88,55.53,46.76,1.693
12/14/2010,46.84,22.88,55.21,46.38,1.6966
12/15/2010,46.59,22.52,54.92,46.07,1.7093
12/16/2010,46.15,22.23,54.41,45.61,1.7024
12/17/2010,45.49,21.67,53.6,44.92,1.7133
12/20/2010,45.1,21.01,53.12,44.43,1.7057
12/21/2010,45.03,20.39,53.06,44.39,1.6947
12/22/2010,45.14,19.94,53.2,44.48,1.6994
12/23/2010,45.21,19.78,53.27,44.63,1.6898
12/24/2010,45.09,19.62,53.12,44.49,1.6907
12/27/2010,45.09,19.5,53.12,44.49,1.6851
12/28/2010,45.09,21.99,53.12,44.49,1.6907
12/29/2010,45.09,21.99,53.12,44.49,1.6767
12/30/2010,45.09,21.99,53.12,44.49,1.6597
12/31/2010,45.09,21.85,53.12,44.49,1.6593
1/3/2011,45.09,21.85,53.12,44.49,1.6465
1/4/2011,45.87,21.08,54.08,45.22,1.6605
1/5/2011,46.91,18.2,55.37,46.38,1.6732
1/6/2011,47.72,18.28,56.34,47.32,1.6851
1/7/2011,48.16,18.51,56.86,47.9,1.6827
1/10/2011,48.52,18.6,57.3,48.22,1.6883
1/11/2011,48.43,18.7,57.19,48.17,1.6829
1/12/2011,48.29,18.87,57.03,47.94,1.6726
1/13/2011,47.97,19.27,56.65,47.63,1.6721
1/14/2011,47.63,19.18,56.23,47.26,1.6851
1/17/2011,47.23,19.21,55.75,46.83,1.6796
1/18/2011,46.92,19.04,55.38,46.38,1.6737
1/19/2011,46.46,18.86,54.84,45.84,1.67
1/20/2011,45.71,18.9,53.91,45.12,1.6733
1/21/2011,45.28,18.64,53.39,44.58,1.6759
1/24/2011,45.03,18.63,53.12,44.27,1.6705
1/25/2011,44.06,18.58,51.92,43.27,1.6717
1/26/2011,43.09,18.35,50.75,42.2,1.6673
1/27/2011,42.66,18.18,50.25,41.73,1.6757
1/28/2011,42.08,17.85,49.56,41.06,1.6818
1/31/2011,41.82,17.77,49.26,40.75,1.667
2/1/2011,41.84,17.8,49.31,40.79,1.6643
2/2/2011,41.85,17.98,49.35,40.91,1.6676
2/3/2011,41.98,18.08,49.51,41.08,1.6678
2/4/2011,42.25,18.09,49.81,41.42,1.673
2/7/2011,42.65,18.13,50.3,41.87,1.6784
2/8/2011,43.01,18.23,50.73,42.17,1.6645
2/9/2011,43.32,18.97,51.11,42.57,1.6566
2/10/2011,43.87,19.23,51.78,43.2,1.6681
2/11/2011,44.4,19.3,52.42,43.79,1.6656
2/14/2011,45.81,19.43,54.17,45.19,1.6665
2/15/2011,47.14,19.92,55.78,46.64,1.669
2/16/2011,48.28,20.52,57.14,48.01,1.669
2/17/2011,48.77,20.96,57.74,48.52,1.6563
2/18/2011,48.77,21.34,57.73,48.55,1.6623
2/21/2011,48.76,21.16,57.74,48.52,1.6679
2/22/2011,48.55,21.11,57.52,48.24,1.6711
2/23/2011,48.4,20.85,57.36,48.21,1.6735
2/24/2011,48.52,20.91,57.54,48.38,1.6635
2/25/2011,48.07,21.95,56.96,47.85,1.6622
2/28/2011,48.16,21.62,57.08,47.93,1.6635
3/1/2011,48.31,21.35,57.26,48.14,1.6628
3/2/2011,49,21.23,58.12,48.74,1.657
3/3/2011,49.39,21.7,58.56,49.3,1.6484
3/4/2011,50.05,21.92,59.36,50.08,1.655
3/7/2011,50.49,22.26,59.9,50.54,1.6521
3/8/2011,50.37,22.5,59.73,50.33,1.6535
3/9/2011,50.96,22.81,60.46,51.02,1.6533
3/10/2011,51.05,23,60.57,51.04,1.6618
3/11/2011,51.12,23.05,60.66,51.11,1.665
3/14/2011,51.07,23.16,60.6,51.13,1.6588
3/15/2011,50.48,23.1,59.87,50.46,1.665
3/16/2011,50.3,23.36,59.65,50.32,1.6752
3/17/2011,50.4,23.61,59.79,50.47,1.6772
3/18/2011,50.07,23.65,59.37,50.08,1.6645
3/21/2011,50.29,23.54,59.67,50.12,1.6664
3/22/2011,50.25,23.48,59.62,50.19,1.659
3/23/2011,50.32,23.39,59.71,50.25,1.6606
3/24/2011,50.3,23.51,59.68,50.19,1.6588
3/25/2011,50.33,23.54,59.73,50.29,1.6605
3/28/2011,50.4,23.58,59.82,50.32,1.6624
3/29/2011,50.27,23.6,59.66,50.28,1.6455
3/30/2011,49.84,23.53,59.15,49.79,1.6284
3/31/2011,49.54,23.28,58.79,49.47,1.6315
4/1/2011,49.38,23.09,58.62,49.3,1.6271
4/4/2011,49.43,22.9,58.71,49.39,1.6067
4/5/2011,49.35,22.76,58.63,49.23,1.6081
4/6/2011,49.02,22.64,58.23,48.99,1.6144
4/7/2011,48.67,22.52,57.81,48.55,1.5855
4/8/2011,48.55,22.3,57.67,48.52,1.5684
4/11/2011,48.46,22.13,57.58,48.27,1.5824
4/12/2011,47.55,21.89,56.43,47.49,1.5955
4/13/2011,47.4,21.75,56.26,47.28,1.5857
4/14/2011,47.03,21.86,55.82,46.92,1.5773
4/15/2011,46.86,21.78,55.62,46.69,1.5753
4/18/2011,46.33,21.57,54.96,46.09,1.5881
4/19/2011,45.82,21.28,54.33,45.46,1.5754
4/20/2011,45.9,21.15,54.46,45.47,1.5659
4/21/2011,45.5,21.04,53.98,45.06,1.5635
4/22/2011,45.5,20.98,53.98,45.06,1.5635
4/25/2011,45.5,20.98,53.98,45.06,1.5675
4/26/2011,45.2,25.32,53.62,44.84,1.5614
4/27/2011,45.42,21.02,53.89,45.01,1.5664
4/28/2011,46.1,21.1,54.72,45.69,1.581
4/29/2011,46.1,21.31,54.72,45.69,1.5765
5/2/2011,46.1,26.44,54.72,45.69,1.5882
5/3/2011,46.86,27.47,55.63,46.57,1.5878
