,"Alberta, MN","Ayr, ND",Barreirias,"Ida Grove, IA","Jasper, MN",Ponta Grossa,Rio Verde,Rondonopolis,Sorriso,"St. Joseph, MO"
"Ayr, ND",0.008552995863109604,0.009980757952889708,0.007903303484701262,0.01128013603170738,0.005527468648095325,0.007355280432595521,0.006738850386803527,0.008155827508152321,0.00774811485291051,0.009025002645181393
"Alberta, MN",0.012096541378814803,0.008552995863109604,0.0070569904773467905,0.012436562862396182,0.006175931159617749,0.00694713423397522,0.006010626703571132,0.007239721382482071,0.006425742273840069,0.009868728677483545
"Jasper, MN",0.006175931159617749,0.005527468648095325,0.0026309438094081665,0.005458183825861422,0.012615000427441523,0.003523966836734672,0.0029718733026235953,0.0027754034366296245,0.0030507278709200588,0.007530462250101479
"Ida Grove, IA",0.012436562862396182,0.01128013603170738,0.008998289478248765,0.04836950859095315,0.005458183825861422,0.010019112532336831,0.006728165309591512,0.008553263100772082,0.008132719630591406,0.017382258402632394
"St. Joseph, MO",0.009868728677483545,0.009025002645181393,0.006955221674876823,0.017382258402632394,0.007530462250101479,0.007742863969531437,0.00525709198540995,0.006220656983774516,0.006793519317877621,0.019364009611858322
Barreirias,0.0070569904773467905,0.007903303484701262,0.04164204286061213,0.008998289478248765,0.0026309438094081665,0.02117747484909456,0.02348246001873301,0.024272075903698023,0.023765770224797006,0.006955221674876823
Sorriso,0.006425742273840069,0.00774811485291051,0.023765770224797006,0.008132719630591406,0.0030507278709200588,0.022642461195745808,0.023963212390104065,0.027548437645577736,0.037071664878433025,0.006793519317877621
Rio Verde,0.006010626703571132,0.006738850386803527,0.02348246001873301,0.006728165309591512,0.0029718733026235953,0.02299335944236837,0.045253423509034156,0.026328258888305107,0.023963212390104065,0.00525709198540995
Ponta Grossa,0.00694713423397522,0.007355280432595521,0.02117747484909456,0.010019112532336831,0.003523966836734672,0.030163762216154067,0.02299335944236837,0.022474140198332767,0.022642461195745808,0.007742863969531437
Rondonopolis,0.007239721382482071,0.008155827508152321,0.024272075903698023,0.008553263100772082,0.0027754034366296245,0.022474140198332767,0.026328258888305107,0.04115723130655828,0.027548437645577736,0.006220656983774516
