Destination,mkt_yr,Bushels(M)
AUSTRIA,1920,0.00075
NIGER,1920,0.0009
KUWAIT,1819,0.0009
KENYA,1718,0.0009
HONG KONG,1617,0.0009
AUSTRALIA,1920,0.0009
MALAWI,1920,0.0009
EL SALVADOR,1819,0.0009
SURINAME,1415,0.0009
EL SALVADOR,1718,0.0009
UKRAINE,1718,0.0018
IRELAND,1920,0.0018
JORDAN,1415,0.0027
EL SALVADOR,1617,0.0027
ARGENTINA,1920,0.0036
NIGERIA,1819,0.0036
JORDAN,1617,0.0045
BELGIUM,1415,0.0045
MALAWI,1516,0.0054
NICARAGUA,1819,0.009000000000000001
HONG KONG,1718,0.009000000000000001
POLAND,1415,0.009899999999999999
MALDIVES,1718,0.0099
UN ARAB EM,1516,0.013499999999999998
JORDAN,1920,0.013499999999999998
FRENCH POLY,1516,0.0162
COCOS IS,1718,0.018000000000000002
SRI LANKA,1819,0.018000000000000002
IRAN,1920,0.018000000000000002
ARGENTINA,1516,0.018000000000000002
MALI,1718,0.018000000000000002
QATAR,1718,0.018000000000000002
NEPAL,1718,0.0189
MALDIVES,1819,0.0207
SENEGAL,1819,0.0252
CAMBODIA,1819,0.0315
JORDAN,1819,0.0324
CAMBODIA,1718,0.0342
CAMBODIA,1617,0.036000000000000004
CHILE,1516,0.036000000000000004
INDIA,1617,0.036000000000000004
INDIA,1718,0.039599999999999996
MADAGASCAR,1920,0.040655233
INDIA,1415,0.041400000000000006
SRI LANKA,1617,0.043199999999999995
FRENCH POLY,1920,0.05129999999999999
INDIA,1920,0.063
GUATEMALA,1718,0.08412599999999999
CAMBODIA,1516,0.0918
IRELAND,1617,0.094290333
DOMINICN REP,1617,0.11382933300000002
ZIMBABWE,1415,0.14623846699999998
BELIZE,1415,0.15469733300000002
SRI LANKA,1516,0.16199999999999998
IRELAND,1718,0.170408333
INDIA,1819,0.171
CAMEROON,1920,0.171
BOLIVIA,1415,0.19912866699999998
GHANA,1718,0.220455
DOMINICN REP,1718,0.25441066700000003
BURMA,1516,0.26189999999999997
MOZAMBIQUE,1920,0.262710333
BURMA,1415,0.2835000000000001
GUYANA,1415,0.304932917
BELIZE,1920,0.312307334
