Date,Paraguana Bunge,Santarem Cargill,Santos ADM,BRL=
2013-01-01,5.4,1.6,6.6,2.0475
2013-02-01,9.037500000000001,2.4375,16.8,1.987
2013-03-01,4.3125,2.475,24.1625,1.9785
2013-04-01,6.1,1.2,26.2,2.0195
2013-05-01,13.15,1.38,12.569999999999999,2.001
2013-06-01,10.0,2.35,8.55,2.124
2013-07-01,9.1,1.6799999999999997,13.719999999999999,2.228
2013-08-01,11.023333333333333,4.346,12.274,2.3035
2013-09-01,7.8999999999999995,1.35,19.3,2.3774
2013-10-01,8.77,1.3699999999999999,12.2,2.2149
2013-11-01,10.0,0.4,12.6,2.2564
2013-12-01,7.8,1.1,5.0,2.3557
2014-01-01,4.0200000000000005,1.7400000000000002,1.7399999999999998,2.3618
2014-02-01,2.9000000000000004,2.4000000000000004,10.7625,2.4397
2014-03-01,6.45,3.0,9.3625,2.3438
2014-04-01,3.6399999999999997,2.04,7.529999999999999,2.2603
2014-05-01,4.73,1.3699999999999999,2.5366666666666666,2.233
2014-06-01,0.5541666666666667,10.4125,1.7208333333333332,2.2765
2014-07-01,1.25,4.5,3.25,2.2013
2014-08-01,0.55,8.25,6.275,2.2572
2014-09-01,0.1,4.050000000000001,4.508333333333334,2.245
2014-10-01,1.0100000000000002,0.16,2.3400000000000003,2.4805
2014-11-01,0.7,0.35,2.3333333333333335,2.4962
2014-12-01,0.64,2.026666666666667,2.56,2.5589
2015-01-01,2.1333333333333333,3.306666666666666,1.7600000000000002,2.657
2015-02-01,5.266666666666667,4.866666666666666,7.800000000000001,2.7261
2015-03-01,0.64,10.16,12.64,2.896
2015-04-01,0.64,18.880000000000003,18.57,3.1647
2015-05-01,0.8480000000000001,0.2,12.5,3.0131
2015-06-01,0.8,1.12,7.85,3.1703
2015-07-01,0.85,6.8,10.540000000000001,3.1485
2015-08-01,0.9,12.75,13.599999999999998,3.4511
2015-09-01,0.9,5.2125,12.4875,3.7016
2015-10-01,0.96,6.51,13.13,4.0092
2015-11-01,1.7399999999999998,14.1,14.62,3.8492
2015-12-01,1.9333333333333331,13.419999999999998,13.113333333333333,3.856
2016-01-01,4.533333333333333,9.4,10.413333333333334,3.9593
2016-02-01,4.7625,9.6625,9.1,3.9614
2016-03-01,4.640000000000001,13.23,13.279999999999998,3.926
2016-04-01,10.233333333333333,7.9833333333333325,9.433333333333334,3.5525
2016-05-01,7.9750000000000005,3.0125,2.6375,3.5006
2016-06-01,3.88,2.1066666666666665,7.413333333333332,3.5996
2016-07-01,3.0100000000000002,3.28,7.99,3.2348
2016-08-01,9.15,1.4500000000000002,1.5500000000000003,3.2644
2016-09-01,6.2700000000000005,0.2,1.3,3.2578
2016-10-01,6.5375,0.3125,0.35,3.209
2016-11-01,4.476666666666667,0.0,0.8099999999999999,3.2355
2016-12-01,4.12,0.0,0.32,3.4703
2017-01-01,2.96,1.44,2.05,3.2851
2017-02-01,11.25,5.0,9.399999999999999,3.1285
2017-03-01,8.946666666666667,11.213333333333335,12.773333333333335,3.089
2017-04-01,2.2625,7.775,10.649999999999999,3.1138
2017-05-01,5.907833333333333,2.95,3.6700000000000004,3.1755
2017-06-01,3.25,4.6,4.775,3.2495
2017-07-01,4.08,5.0,7.239999999999999,3.3003
2017-08-01,2.0,8.25,1.5,3.1254
2017-09-01,5.6000000000000005,7.6000000000000005,4.533333333333333,3.1409
2017-10-01,4.7700000000000005,2.48,11.266666666666666,3.1538
2017-11-01,0.68,4.3,3.07,3.2673
2017-12-01,1.5866666666666667,3.6533333333333333,4.84,3.258
2018-01-01,8.95,0.8,3.2233333333333336,3.3121
2018-02-01,11.683333333333332,5.8,8.383333333333333,3.1668
2018-03-01,5.11,2.6900000000000004,6.459999999999999,3.2511
2018-04-01,2.35,2.45,5.06,3.3099
2018-05-01,9.03,4.1,6.409999999999999,3.5071
2018-06-01,8.6,2.4499999999999997,6.8999999999999995,3.763
2018-07-01,6.04,2.44,5.8,3.9117
2018-08-01,2.64,7.959999999999999,6.36,3.7492
2018-09-01,1.7899999999999998,3.2300000000000004,1.95,4.1579
2018-10-01,0.32,2.8200000000000003,3.7199999999999998,4.0176
2018-11-01,0.0,2.81,2.62,3.7
2018-12-01,0.0,6.3,2.283333333333333,3.8408
2019-01-01,0.0,8.3,3.1,3.8804
2019-02-01,0.2,4.4,9.1,3.6596
2019-03-01,2.8,5.0,7.0,3.7749
2019-04-01,2.9,2.0,4.0,3.8508
2019-05-01,2.8,5.4,2.2,3.9195
2019-06-01,1.9,15.4,3.9,3.8851
2019-07-01,3.0,19.7,2.3,3.8401
2019-08-01,6.2,14.7,3.0,3.8388
2019-09-01,1.1,4.0,3.6,4.1857
2019-10-01,2.2,1.2,3.4,4.1578
2019-11-01,1.5,1.7,2.0,3.9897
2019-12-01,0.0,0.7,2.0,4.223
