Date,MKT YR,Destination,Port,Bushels,Pounds
20200102,1920,KOREA REP,INTERIOR,2700,162000
20200102,1920,PAKISTAN,MISSISSIPPI R.,2556161.833,153369710
20200102,1920,CHINA MAIN,MISSISSIPPI R.,2667545,160052700
20200102,1920,PHILIPPINES,INTERIOR,2700,162000
20200102,1920,VIETNAM,INTERIOR,9900,594000
20200102,1920,INDONESIA,INTERIOR,17100,1026000
20200102,1920,MEXICO,MISSISSIPPI R.,485008.3333,29100500
20200102,1920,INDONESIA,INTERIOR,9000,540000
20200102,1920,INDONESIA,INTERIOR,11700,702000
20200102,1920,VIETNAM,INTERIOR,7200,432000
20200102,1920,VIETNAM,INTERIOR,1800,108000
20200102,1920,INDONESIA,INTERIOR,18000,1080000
20200102,1920,INDONESIA,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,16200,972000
20200102,1920,VIETNAM,INTERIOR,10800,648000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,INDONESIA,INTERIOR,3600,216000
20200102,1920,INDONESIA,INTERIOR,9000,540000
20200102,1920,VIETNAM,INTERIOR,12600,756000
20200102,1920,INDONESIA,INTERIOR,7200,432000
20200102,1920,MEXICO,INTERIOR,396000,23760000
20200102,1920,THAILAND,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,12600,756000
20200102,1920,THAILAND,S. ATLANTIC,13500,810000
20200102,1920,THAILAND,S. ATLANTIC,12600,756000
20200102,1920,THAILAND,S. ATLANTIC,14400,864000
20200102,1920,INDONESIA,S. ATLANTIC,18000,1080000
20200102,1920,INDONESIA,S. ATLANTIC,18000,1080000
20200102,1920,CHINA T,S. ATLANTIC,18000,1080000
20200102,1920,CHINA T,S. ATLANTIC,18000,1080000
20200102,1920,CHINA T,S. ATLANTIC,18000,1080000
20200102,1920,CHINA T,INTERIOR,16200,972000
20200102,1920,INDONESIA,S. ATLANTIC,10800,648000
20200102,1920,INDONESIA,S. ATLANTIC,10800,648000
20200102,1920,CHINA MAIN,MISSISSIPPI R.,2591593.333,155495600
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,INDONESIA,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,THAILAND,INTERIOR,9000,540000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,16200,972000
20200102,1920,INDONESIA,INTERIOR,6300,378000
20200102,1920,CHINA T,INTERIOR,18000,1080000
20200102,1920,CHINA T,INTERIOR,3600,216000
20200102,1920,VIETNAM,INTERIOR,6300,378000
20200102,1920,INDONESIA,INTERIOR,900,54000
20200102,1920,INDONESIA,INTERIOR,18000,1080000
