FIPS,geoid,Stabr,County_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1001,1001,AL,Autauga County,0,0,0,0,0,0,0,0,0,0,0,0
1003,1003,AL,Baldwin County,138072,134666,138011,127985,130763,118043,103992,112303,97623,84982,101955,94638
1005,1005,AL,Barbour County,0,0,0,0,0,0,0,0,0,0,0,0
1007,1007,AL,Bibb County,0,0,0,0,0,0,0,0,0,0,0,0
1009,1009,AL,Blount County,0,0,0,0,0,0,0,0,0,0,0,0
1011,1011,AL,Bullock County,0,0,0,0,0,0,0,0,0,0,0,0
1013,1013,AL,Butler County,0,0,0,0,0,0,0,0,0,0,0,0
1015,1015,AL,Calhoun County,0,0,0,0,0,0,0,0,0,0,0,0
1017,1017,AL,Chambers County,0,0,0,0,0,0,0,0,0,0,0,0
1019,1019,AL,Cherokee County,0,0,0,0,0,0,0,0,0,0,0,0
1021,1021,AL,Chilton County,0,0,0,0,0,0,0,0,0,0,0,0
1023,1023,AL,Choctaw County,652067,603845,564213,527582,463107,424154,363061,429449,442936,350345,375372,372512
1025,1025,AL,Clarke County,330933,319891,285497,301260,252415,235616,214651,201348,191449,183050,169480,170611
1027,1027,AL,Clay County,0,0,0,0,0,0,0,0,0,0,0,0
1029,1029,AL,Cleburne County,0,0,0,0,0,0,0,0,0,0,0,0
1031,1031,AL,Coffee County,0,0,0,0,0,0,0,0,0,0,0,0
1033,1033,AL,Colbert County,0,0,0,0,0,0,0,0,0,0,0,0
1035,1035,AL,Conecuh County,110132,142044,96223,116122,423467,1207237,1687577,1821208,2531941,2485039,2352547,3294092
1037,1037,AL,Coosa County,0,0,0,0,0,0,0,0,0,0,0,0
1039,1039,AL,Covington County,393178,381704,374895,398076,276730,212249,113791,89942,94626,60526,52693,49898
1041,1041,AL,Crenshaw County,0,0,0,0,0,0,0,0,0,0,0,0
1043,1043,AL,Cullman County,0,0,0,0,0,0,0,0,0,0,0,0
1045,1045,AL,Dale County,0,0,0,0,0,0,0,0,0,0,0,0
1047,1047,AL,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0
1049,1049,AL,DeKalb County,0,0,0,0,0,0,0,0,0,0,0,0
1051,1051,AL,Elmore County,0,0,0,0,0,0,0,0,0,0,0,0
1053,1053,AL,Escambia County,3177453,2751701,2513055,2149268,1958877,1910301,1858389,1846484,1747558,1543844,1973372,2371492
1055,1055,AL,Etowah County,0,0,0,0,0,0,0,0,0,0,0,0
1057,1057,AL,Fayette County,27599,25891,24431,20952,19759,18685,18340,19664,19155,20575,18037,17242
1059,1059,AL,Franklin County,0,0,0,0,0,0,0,0,0,0,0,0
1061,1061,AL,Geneva County,0,0,0,0,0,0,0,0,0,0,0,0
1063,1063,AL,Greene County,0,0,0,0,0,0,0,0,0,0,0,0
1065,1065,AL,Hale County,0,0,0,0,0,0,0,0,0,0,0,0
1067,1067,AL,Henry County,0,0,0,0,0,0,0,0,0,0,0,0
1069,1069,AL,Houston County,0,0,0,0,0,0,0,0,0,0,0,0
1071,1071,AL,Jackson County,0,0,0,0,0,0,0,0,0,0,0,0
1073,1073,AL,Jefferson County,0,0,0,0,0,0,0,0,0,0,0,0
1075,1075,AL,Lamar County,171729,162623,139880,134646,125603,111587,100248,94836,86541,77157,73084,69513
1077,1077,AL,Lauderdale County,0,0,0,0,0,0,0,0,0,0,0,0
1079,1079,AL,Lawrence County,0,0,0,0,0,0,0,0,0,0,0,0
1081,1081,AL,Lee County,0,0,0,0,0,0,0,0,0,0,0,0
1083,1083,AL,Limestone County,0,0,0,0,0,0,0,0,0,0,0,0
1085,1085,AL,Lowndes County,0,0,0,0,0,0,0,0,0,0,0,0
1087,1087,AL,Macon County,0,0,0,0,0,0,0,0,0,0,0,0
1089,1089,AL,Madison County,0,0,0,0,0,0,0,0,0,0,0,0
1091,1091,AL,Marengo County,0,0,0,0,0,0,0,0,0,0,0,0
1093,1093,AL,Marion County,0,0,0,0,0,418,288,170,346,312,105,152
1095,1095,AL,Marshall County,0,0,0,0,0,0,0,0,0,0,0,0
1097,1097,AL,Mobile County,3710055,3401063,3067259,2767659,2483722,2364273,2049759,1808295,1832596,1753774,1520858,1388002
1099,1099,AL,Monroe County,1513619,1199618,1203780,1148508,1124503,1107037,908485,623808,561643,521514,404957,369227
1101,1101,AL,Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0
1103,1103,AL,Morgan County,0,0,0,0,0,0,0,0,0,0,0,0
1105,1105,AL,Perry County,0,0,0,0,0,0,0,0,0,0,0,0
1107,1107,AL,Pickens County,1070,1527,3879,2461,1367,2399,2837,5751,4311,4009,3631,18791
1109,1109,AL,Pike County,0,0,0,0,0,0,0,0,0,0,0,0
1111,1111,AL,Randolph County,0,0,0,0,0,0,0,0,0,0,0,0
1113,1113,AL,Russell County,0,0,0,0,0,0,0,0,0,0,0,0
1115,1115,AL,St. Clair County,0,0,0,0,0,0,0,0,0,0,0,0
1117,1117,AL,Shelby County,0,0,0,0,0,0,0,0,0,0,0,0
1119,1119,AL,Sumter County,0,0,0,0,0,0,0,0,0,0,0,0
1121,1121,AL,Talladega County,0,0,0,0,0,0,0,0,0,0,0,0
1123,1123,AL,Tallapoosa County,0,0,0,0,0,0,0,0,0,0,0,0
1125,1125,AL,Tuscaloosa County,0,0,0,0,0,673,15,8,7,0,0,8
1127,1127,AL,Walker County,0,0,0,0,0,0,0,0,0,0,0,0
1129,1129,AL,Washington County,233623,221628,219816,199700,182361,148176,118048,118221,85303,103960,102321,142796
1131,1131,AL,Wilcox County,0,0,0,0,0,0,0,0,0,0,0,0
1133,1133,AL,Winston County,0,0,0,0,0,0,0,0,0,0,0,0
4001,4001,AZ,Apache County,57483,60297,63417,47289,51341,50251,54807,42692,51575,46193,40137,36925
4003,4003,AZ,Cochise County,0,0,0,0,0,0,0,0,0,0,0,0
4005,4005,AZ,Coconino County,0,0,0,0,0,0,0,0,0,0,0,0
4007,4007,AZ,Gila County,0,0,0,0,0,0,0,0,0,0,0,0
4009,4009,AZ,Graham County,0,0,0,0,0,0,0,0,0,0,0,0
4011,4011,AZ,Greenlee County,0,0,0,0,0,0,0,0,0,0,0,0
4012,4012,AZ,La Paz County,0,0,0,0,0,0,0,0,0,0,0,0
4013,4013,AZ,Maricopa County,0,0,0,0,0,0,0,0,0,0,0,0
4015,4015,AZ,Mohave County,0,0,0,0,0,0,0,0,0,0,0,0
4017,4017,AZ,Navajo County,0,0,0,0,0,0,0,0,0,0,0,0
4019,4019,AZ,Pima County,0,0,0,0,0,0,0,0,0,0,0,0
4021,4021,AZ,Pinal County,0,0,0,0,0,0,0,0,0,0,0,0
4023,4023,AZ,Santa Cruz County,0,0,0,0,0,0,0,0,0,0,0,0
4025,4025,AZ,Yavapai County,0,0,0,0,0,0,0,0,0,0,0,0
4027,4027,AZ,Yuma County,0,0,0,0,0,0,0,0,0,0,0,0
5001,5001,AR,Arkansas County,0,0,0,0,0,0,0,0,0,0,0,0
5003,5003,AR,Ashley County,7740,7355,7310,7670,7650,7445,7467,7513,7266,8059,8103,8575
5005,5005,AR,Baxter County,0,0,0,0,0,0,0,0,0,0,0,0
5007,5007,AR,Benton County,0,0,0,0,0,0,0,0,0,0,0,0
5009,5009,AR,Boone County,0,0,0,0,0,0,0,0,0,0,0,0
5011,5011,AR,Bradley County,22371,17048,18598,20056,19711,18675,26395,25356,28003,17890,28759,35559
5013,5013,AR,Calhoun County,16931,16901,13200,16911,22668,27635,31398,24379,20061,11725,13621,12328
5015,5015,AR,Carroll County,0,0,0,0,0,0,0,0,0,0,0,0
5017,5017,AR,Chicot County,0,0,0,0,0,0,0,0,0,0,0,0
5019,5019,AR,Clark County,0,0,0,0,0,0,0,0,0,0,0,0
5021,5021,AR,Clay County,0,0,0,0,0,0,0,0,0,0,0,0
5023,5023,AR,Cleburne County,0,0,0,0,0,0,0,0,0,0,0,0
5025,5025,AR,Cleveland County,0,0,0,0,0,0,0,0,0,0,0,0
5027,5027,AR,Columbia County,2660294,2564269,2414014,2395333,1975211,1749449,1602758,1572686,1453016,1335900,1330253,1516769
5029,5029,AR,Conway County,0,0,0,0,0,0,0,0,0,0,0,0
5031,5031,AR,Craighead County,0,0,0,0,0,0,0,0,0,0,0,0
5033,5033,AR,Crawford County,0,0,0,0,0,0,0,0,0,0,0,0
5035,5035,AR,Crittenden County,0,0,0,0,0,0,0,0,0,0,0,0
5037,5037,AR,Cross County,0,0,0,0,0,0,0,0,0,0,0,0
5039,5039,AR,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0
5041,5041,AR,Desha County,0,0,0,0,0,0,0,0,0,0,0,0
5043,5043,AR,Drew County,0,0,0,0,0,0,0,0,0,0,0,0
5045,5045,AR,Faulkner County,0,0,0,0,0,0,0,0,0,0,0,0
5047,5047,AR,Franklin County,0,0,0,0,0,0,0,0,0,0,0,0
